Indexcd,Trddt,Retindex
300,2018/3/14,-0.004377
300,2018/3/15,0.005602
300,2018/3/16,-0.009702
300,2018/3/19,0.004394
300,2018/3/20,0.000848
300,2018/3/21,-0.004084
300,2018/3/22,-0.010022
300,2018/3/23,-0.028707
300,2018/3/26,-0.006413
300,2018/3/27,0.008602
300,2018/3/28,-0.018029
300,2018/3/29,0.013359
300,2018/3/30,0.001142
300,2018/4/2,-0.00297
300,2018/4/3,-0.006287
300,2018/4/4,-0.001972
300,2018/4/9,-0.000502
300,2018/4/10,0.019269
300,2018/4/11,0.002844
300,2018/4/12,-0.010082
300,2018/4/13,-0.007051
300,2018/4/16,-0.016089
300,2018/4/17,-0.015811
300,2018/4/18,0.004706
300,2018/4/19,0.012097
300,2018/4/20,-0.013376
300,2018/4/23,0.001455
300,2018/4/24,0.020488
300,2018/4/25,-0.003847
300,2018/4/26,-0.019121
300,2018/4/27,0.000368
300,2018/5/2,0.001802
300,2018/5/3,0.007799
300,2018/5/4,-0.004852
300,2018/5/7,0.015787
300,2018/5/8,0.011603
300,2018/5/9,-0.001821
300,2018/5/10,0.005538
300,2018/5/11,-0.005194
300,2018/5/14,0.009413
300,2018/5/15,0.003787
300,2018/5/16,-0.007964
300,2018/5/17,-0.007396
300,2018/5/18,0.010096
300,2018/5/21,0.004657
300,2018/5/22,-0.003834
300,2018/5/23,-0.013216
300,2018/5/24,-0.007099
300,2018/5/25,-0.002801
300,2018/5/28,0.004392
300,2018/5/29,-0.007631
300,2018/5/30,-0.021198
300,2018/5/31,0.021218
300,2018/6/1,-0.00836
300,2018/6/4,0.00981
300,2018/6/5,0.009911
300,2018/6/6,-0.002071
300,2018/6/7,-0.001652
300,2018/6/8,-0.013416
300,2018/6/11,0.000097
300,2018/6/12,0.012162
300,2018/6/13,-0.009831
300,2018/6/14,-0.003953
300,2018/6/15,-0.005282
300,2018/6/19,-0.035252
300,2018/6/20,0.003957
300,2018/6/21,-0.011685
300,2018/6/22,0.004436
300,2018/6/25,-0.013419
300,2018/6/26,-0.008248
300,2018/6/27,-0.020347
300,2018/6/28,-0.010331
300,2018/6/29,0.025546
300,2018/7/2,-0.029342
300,2018/7/3,0.000386
300,2018/7/4,-0.013356
300,2018/7/5,-0.006335
300,2018/7/6,0.006787
300,2018/7/9,0.027952
300,2018/7/10,0.002408
300,2018/7/11,-0.017299
300,2018/7/12,0.021578
300,2018/7/13,0.003342
300,2018/7/16,-0.005899
300,2018/7/17,-0.00654
300,2018/7/18,-0.005234
300,2018/7/19,-0.000868
300,2018/7/20,0.018829
300,2018/7/23,0.009407
300,2018/7/24,0.015871
300,2018/7/25,-0.001104
300,2018/7/26,-0.011601
300,2018/7/27,-0.004247
300,2018/7/30,-0.001746
300,2018/7/31,0.000733
300,2018/8/1,-0.019976
300,2018/8/2,-0.02217
300,2018/8/3,-0.016516
300,2018/8/6,-0.012672
300,2018/8/7,0.029205
300,2018/8/8,-0.016136
300,2018/8/9,0.025048
300,2018/8/10,0.002204
300,2018/8/13,-0.00431
300,2018/8/14,-0.005141
300,2018/8/15,-0.023996
300,2018/8/16,-0.004632
300,2018/8/17,-0.014377
300,2018/8/20,0.011652
300,2018/8/21,0.01818
300,2018/8/22,-0.00562
300,2018/8/23,0.003649
300,2018/8/24,0.001599
300,2018/8/27,0.02443
300,2018/8/28,-0.001879
300,2018/8/29,-0.003999
300,2018/8/30,-0.010477
300,2018/8/31,-0.004951
300,2018/9/3,-0.003802
300,2018/9/4,0.012666
300,2018/9/5,-0.019548
300,2018/9/6,-0.010691
300,2018/9/7,0.004525
300,2018/9/10,-0.014515
300,2018/9/11,-0.001813
300,2018/9/12,-0.006881
300,2018/9/13,0.010787
300,2018/9/14,0.001707
300,2018/9/17,-0.011464
300,2018/9/18,0.020128
300,2018/9/19,0.013167
300,2018/9/20,-0.000711
300,2018/9/21,0.030319
300,2018/9/25,-0.008996
300,2018/9/26,0.011077
300,2018/9/27,-0.003995
300,2018/9/28,0.010364
300,2018/10/8,-0.043028
300,2018/10/9,-0.000671
300,2018/10/10,-0.002157
300,2018/10/11,-0.04799
300,2018/10/12,0.01492
300,2018/10/15,-0.013963
300,2018/10/16,-0.008149
300,2018/10/17,0.00557
300,2018/10/18,-0.023684
300,2018/10/19,0.029744
300,2018/10/22,0.043168
300,2018/10/23,-0.026556
300,2018/10/24,0.0015
300,2018/10/25,0.001915
300,2018/10/26,-0.006472
300,2018/10/29,-0.030484
300,2018/10/30,0.010846
300,2018/10/31,0.014006
300,2018/11/1,0.00736
300,2018/11/2,0.035634
300,2018/11/5,-0.008331
300,2018/11/6,-0.006033
300,2018/11/7,-0.006549
300,2018/11/8,-0.002836
300,2018/11/9,-0.014109
300,2018/11/12,0.011901
300,2018/11/13,0.010059
300,2018/11/14,-0.01002
300,2018/11/15,0.011679
300,2018/11/16,0.004719
300,2018/11/19,0.011336
300,2018/11/20,-0.023127
300,2018/11/21,0.002512
300,2018/11/22,-0.003739
300,2018/11/23,-0.022073
300,2018/11/26,-0.00071
300,2018/11/27,-0.001274
300,2018/11/28,0.013289
300,2018/11/29,-0.012985
300,2018/11/30,0.011166
300,2018/12/3,0.027819
300,2018/12/4,0.002073
300,2018/12/5,-0.004806
300,2018/12/6,-0.021627
300,2018/12/7,-0.000034
300,2018/12/10,-0.011567
300,2018/12/11,0.004787
300,2018/12/12,0.003416
300,2018/12/13,0.015481
